행정구역명,법정동코드,terrain,행정구역위도,행정구역경도,기상지역명,기상지역유형,기상지역위도,기상지역경도,EPW파일명
강원특별자치도 양양군,5183000000,Suburbs,38.00464294,128.5953646,양양 국제공항,AP,38.061,128.669,KOR_KW_Yangyang.Intl.AP.470920_TMYx.2009-2023.epw
충청북도 충주시,4313000000,Suburbs,37.01523807,127.8955588,중원 공군기지,AB,37.0167,127.8833,KOR_HB_Jungwon.AB.471250_TMYx.2009-2023.epw
충청북도 제천시,4315000000,Suburbs,37.06007073,128.140906,중원 공군기지,AB,37.0167,127.8833,KOR_HB_Jungwon.AB.471250_TMYx.2009-2023.epw
충청북도 청주시 상당구,4311100000,Suburbs,36.59215305,127.5849706,청주 국제공항,AP,36.7167,127.5,KOR_HB_Cheongju.Intl.AP.471280_TMYx.2009-2023.epw
충청북도 청주시 서원구,4311200000,Suburbs,36.54759365,127.4385372,청주 기상대,WS,36.6392,127.4406,KOR_HB_Cheongju.WS.471310_TMYx.2009-2023.epw
충청북도 청주시 흥덕구,4311300000,Suburbs,36.64698251,127.3692269,청주 기상대,WS,36.6392,127.4406,KOR_HB_Cheongju.WS.471310_TMYx.2009-2023.epw
충청북도 청주시 청원구,4311400000,Suburbs,36.72057442,127.4913153,청주 국제공항,AP,36.7167,127.5,KOR_HB_Cheongju.Intl.AP.471280_TMYx.2009-2023.epw
충청북도 보은군,4372000000,Suburbs,36.48995349,127.729329,청주 국제공항,AP,36.7167,127.5,KOR_HB_Cheongju.Intl.AP.471280_TMYx.2009-2023.epw
충청북도 옥천군,4373000000,Suburbs,36.32045724,127.6565891,금산,일반 지역,36.1052,127.4828,KOR_HN_Geumsan.692244_TMYx.2009-2023.epw
충청북도 영동군,4374000000,Suburbs,36.15967331,127.814267,추풍령,일반 지역,36.2203,127.9944,KOR_HB_Chupungnyeong.471350_TMYx.2009-2023.epw
충청북도 진천군,4375000000,Suburbs,36.87102056,127.440435,청주 국제공항,AP,36.7167,127.5,KOR_HB_Cheongju.Intl.AP.471280_TMYx.2009-2023.epw
충청북도 괴산군,4376000000,Suburbs,36.76971576,127.8295694,중원 공군기지,AB,37.0167,127.8833,KOR_HB_Jungwon.AB.471250_TMYx.2009-2023.epw
충청북도 음성군,4377000000,Suburbs,36.97625912,127.6141845,부론,일반 지역,37.2,127.75,KOR_KW_Buron.693634_TMYx.2009-2023.epw
충청북도 단양군,4380000000,Suburbs,36.99450838,128.3878864,영월 기상대,WS,37.1814,128.4575,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023.epw
충청북도 증평군,4374500000,Suburbs,36.78649088,127.6046051,청주 국제공항,AP,36.7167,127.5,KOR_HB_Cheongju.Intl.AP.471280_TMYx.2009-2023.epw
충청남도 천안시 동남구,4413100000,Suburbs,36.76412119,127.2209811,천안,일반 지역,36.7625,127.2928,KOR_HN_Cheonan.471450_TMYx.2009-2023.epw
충청남도 천안시 서북구,4413300000,Suburbs,36.89270209,127.1618087,평택 공항,AP,36.967,127.033,KOR_KG_Pyeongtaek.AP.471270_TMYx.2009-2023.epw
충청남도 공주시,4415000000,Suburbs,36.47990723,127.0751463,공주,일반 지역,36.5,127.2,KOR_HN_Gongju.692214_TMYx.2009-2023.epw
충청남도 보령시,4418000000,Suburbs,36.33984434,126.5904864,보령,일반 지역,36.3272,126.5575,KOR_HN_Boryeong.471500_TMYx.2009-2023.epw
충청남도 아산시,4420000000,Suburbs,36.80737834,126.9800527,평택 공항,AP,36.967,127.033,KOR_KG_Pyeongtaek.AP.471270_TMYx.2009-2023.epw
충청남도 서산시,4421000000,Suburbs,36.78499389,126.4630636,서산 기상대,WS,36.7767,126.4939,KOR_HN_Seosan.WS.471290_TMYx.2009-2023.epw
충청남도 논산시,4423000000,Suburbs,36.19090512,127.1577066,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
충청남도 계룡시,4425000000,Suburbs,36.29160356,127.2344202,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
충청남도 당진시,4427000000,Suburbs,36.90450845,126.6521473,서산 기상대,WS,36.7767,126.4939,KOR_HN_Seosan.WS.471290_TMYx.2009-2023.epw
충청남도 금산군,4471000000,Suburbs,36.11903031,127.4782928,금산,일반 지역,36.1052,127.4828,KOR_HN_Geumsan.692244_TMYx.2009-2023.epw
충청남도 부여군,4476000000,Suburbs,36.24640057,126.8569418,군산,일반 지역,36.0053,126.7614,KOR_CB_Gunsan.471400_TMYx.2009-2023.epw
충청남도 서천군,4477000000,Suburbs,36.10676872,126.7035299,군산,일반 지역,36.0053,126.7614,KOR_CB_Gunsan.471400_TMYx.2009-2023.epw
충청남도 청양군,4479000000,Suburbs,36.43059188,126.8530857,보령,일반 지역,36.3272,126.5575,KOR_HN_Boryeong.471500_TMYx.2009-2023.epw
충청남도 홍성군,4480000000,Suburbs,36.57007094,126.6257146,서산 기상대,WS,36.7767,126.4939,KOR_HN_Seosan.WS.471290_TMYx.2009-2023.epw
충청남도 예산군,4481000000,Suburbs,36.670634,126.7842702,서산 기상대,WS,36.7767,126.4939,KOR_HN_Seosan.WS.471290_TMYx.2009-2023.epw
충청남도 태안군,4482500000,Suburbs,36.70744515,126.2792943,서산 기상대,WS,36.7767,126.4939,KOR_HN_Seosan.WS.471290_TMYx.2009-2023.epw
